
17.09.19 (3);klasa 0;"
+ 1 z Tsubasy
"
;klasa 6;"?
Obrazy z ekranu
Po przywróceniu dyscypliny nauczycielka rozpoczeła nowy temat - robienie zrzutu ekranu. Uczniowie byli bardzo podeskcytowani, bo zadanie zawierało element przedstawienia ich ulubionej gry. Liczne ciche rozmowy, wzmocnione przez akustykę sali zmuszało nauczycielkę do ciąglego nadwyrężania głosu. Interesujący temat skłonił uczniów to aktywniejszej pracy.
klasa
Obrazy z ekranu
Klasa miała znaczny problem z dyscypliną, ale po kilku minutach udało się ją uspokoić. Po przedstawieniu tematu oraz metod wykorzystywanych na lekcji, uczniowie rozpoczeli pracę.

";
18.09.19 (4);klasa 5;"?
Zaraz po dzwonku nauczycielka została wciagnięta w rozmowę przez jednego z rodziców. Na jej prośbę wpuściłem klasę do sali, a ponieważ znałem te klasę z poprzednihc praktyk pozwoliłem sobie ją przywitać i rozpocząć wstęp do lekcji.
Nauczycielka rozpoczeła od podania informacji o konkursie informatycznym, a następnie podała temat lekcji - kontunuacja wykonywani komiksu w grafice rastrowej. Po ukończeniu pracy przez większość uczniów, nauczycielka przeszła do przedstawienia grafiki wektorowej, jako wstęp do kolejnej lekcji. Po przeczytaniu fragmentu z podręcznika i omówieniu go wspólnie w klasie nauczycielka przedstawiła plan na kilka najbliższych zajęc.

"
;klasa 6;"a

Pierwszą czynnością nauczycielki było wyjaśnienie spóźnień. Kolejno, nauczycielka opowiedziała o konkursie na prezentacje multimedialną, po czym przeszła do przedstawienia tematu lekcji - robienia zrzutów ekranu. Młodzież była zainteresowana, posiadała wiedze odnośnie tej funkcjonalności, ale brakowało im precyzji w określeniu jej. Następnie nauczycielka przedstawiła pokaz jak w praktyce użyć zrzutu ekranu.

"
;klasa 5;" (?)
"
;klasa 4;"
Klasa pracowałe nad dokumentem komiksem w programie LibreOffice. Jedna z uczennic przypadkiem włączyła opcję ukrywania obrazów, odnalezienie tego ustawienia zabrałą mi zaskująco dużo czasu, musiałem też posiłkować się tutorialem w Internecie.
";
19.09.19 (4);klasa 2;"
Uczniowie miali znaczny problem z zapanowaniem nad sobą. Nauczycielce udało się jednak zmoblizować klasę i rozpocząć pracę nad nowym tematem. Po korekcie wybranego użytych przez uczniów programów, uczniowie rozpoczeli prace w procesorze tekstu. Przygotowali prostą listę przedmiotów i nauczycieli oodpowiednich przedmiotów. Poza ćwiczeniem umiejętności w procesorze teksu uczniowie przypomnieli sobie nazwiska nauczycieli, co bez wątepienia przyda im się podczas pobytu w szkole.


"
;klasa 7;"
Lekcja prowadzona. Przeprowadzana przeze mnie lekcja dotyczyła liczb w systemie binarnym. Z racji zainteresowania systemami pozycyjnymi, temat był wręcz dla mnie wymarzony. Lekcja, chodź w dużej mierze teoretyczna przebiegła sprawnie, uczniowie osiągneli cele lekcji i wykazali zainteresowanie tematem, do tego stopnia, że nawet podczas przerwy dopytywali mnie o pomoc w zamianie innych liczb z systemu dziesiętnego na system binarny.

"
;klasa 6;" (przygotowywałeś lekcje w pokoju)

"
;klasa 8;"
Lekcja prowadzona. Lekcję rozpocząć miałem od sprawdzenia efektów pracy z poprzednije lekcji, a następnie rozpocząć nowy temat. Niestety, żadne z uczniów nie ukończył poprzedniej pracy, wielu z nich było też wręcz na samym początku. Dwójka uczniów była też poprzednio nieobecna. W związku z tym, spontanicznie, przeprowadziłem powtórkę materiału dla chętnych uczniów, a następnie przypomniałem zadanie. Uczniowie rozpoczeli pracę, a ja korygowałem ewentualne błędy. Znacznym problemem było zorientowanie się uczniów w którym miejscu systemu plików zapisali swoją pracę. Mylili również rozszerzenia plików.
";
